NUMBER X_IMAGE Y_IMAGE ra_plane dec_plane FLUX_AUTO FLUXERR_AUTO FLUX_APER A_IMAGE B_IMAGE THETA_IMAGE FWHM_IMAGE nuv gl gb expsum ctsum bkgdsum plane_oid solution_id source_id ra_gaia ra_error dec_gaia dec_error parallax parallax_error visibility_periods_used duplicated_source phot_g_mean_flux phot_g_mean_flux_error phot_g_mean_mag phot_bp_mean_flux phot_bp_mean_flux_error phot_bp_mean_mag phot_rp_mean_flux phot_rp_mean_flux_error phot_rp_mean_mag radial_velocity radial_velocity_error rv_template_teff rv_template_logg rv_template_fe_h phot_variable_flag teff_val flame_flags angsep dist distmod ebv name
35931 3592.110107421875 13555.400390625 105.406800929 -11.4674694169 338.359 1.9681 45.1444 4.67595 4.32016 -50.0218 6.6455 14.006600379943848 224.297411206 -2.97437655176 22.842121124267578 192.0 2.2602411728040304 1429618 1635721458409799680 3046062966074936064 105.40638876051419 0.034530471163003756 -11.467141246950867 0.03910470697639306 0.8024302207532703 0.04135779822150631 11 False 667706.5257054253 307.16926950273455 11.126901626586914 464514.9923338314 1361.8025010828346 11.18388843536377 327506.8339316909 337.78076989061486 10.973869323730469 nan nan nan nan nan NOT_AVAILABLE 9055.3330078125 -9223372036854775808 0.0005204457429709928 1246.2142802414194 10.477963617415554 0.5304838418960571 CMaOB1
36118 5588.64990234375 13520.099609375 104.874353249 -10.4935341336 7.53078 0.349528 3.51251 1.33991 1.2288 -34.5514 3.17446 18.13789939880371 223.190802871 -2.99668198612 48.050350189208984 29.0 0.8012603406397061 1429777 1635721458409799680 3049197364488482688 104.87429706954485 0.023720153973591625 -10.49359459980904 0.02552695471302236 0.8537834878615542 0.025291520210987194 11 False 63863.21757972498 16.52066172715576 13.675238609313965 35050.65268488516 45.19112293508381 13.98964786529541 42334.87916117571 42.32940219506575 13.195174217224121 nan nan nan nan nan NOT_AVAILABLE 5817.5 200111 8.189997667089567e-05 1171.2571327710612 10.343261243443656 0.2655269205570221 CMaOB1
36153 4581.0400390625 13540.5 105.144057323 -10.9847355852 75.9252 0.907402 33.1934 1.93651 1.74345 -59.657 3.03388 15.628999710083008 223.749537812 -2.98411585605 22.278928756713867 98.0 1.0158566004894656 1429808 1635721458409799680 3049114759378162304 105.14397590815804 0.03402463066017964 -10.98468697595461 0.03971023971499817 0.8635220528795972 0.04485767667671755 11 False 464364.26529185515 636.010010982667 11.521218299865723 280084.72772606416 991.9743441764762 11.73316478729248 270259.5740526566 771.6528457646807 11.182467460632324 nan nan nan nan nan NOT_AVAILABLE 6882.0 200111 9.354448645650644e-05 1158.0480158732348 10.318632834074839 0.23899729549884796 CMaOB1
36214 3570.800048828125 13558.599609375 105.413923669 -11.4771389333 82.9548 0.960871 29.2929 2.42992 1.97183 -29.6876 3.31765 15.532899856567383 224.309214561 -2.97256499678 22.4791202545166 126.0 2.1895117524292833 1429851 1635721458409799680 3046016026371217792 105.41378786529182 0.03825424837868176 -11.47724148117755 0.03829502427797369 0.7879991114555073 0.04996594281555167 10 False 208333.2481260732 51.86400111712068 12.39146900177002 136123.10445936554 316.49933258911625 12.516558647155762 110542.61212320824 102.4618611247948 12.153095245361328 nan nan nan nan nan NOT_AVAILABLE 7975.0 200111 0.00016801348155016634 1269.0369639540677 10.517371361094023 0.533018946647644 CMaOB1
36254 5633.27978515625 13563.099609375 104.884423814 -10.4607171278 21.5578 0.516126 10.0713 1.67177 1.60718 -56.2122 2.8162 16.996000289916992 223.166043802 -2.9729402669 49.3002815246582 58.0 0.8017202306160889 1429881 1635721458409799680 3049198257841663744 104.88440353005768 0.017704564817943462 -10.460749003793664 0.018705311079104253 0.8631687899973951 0.02145993521131261 12 False 107962.61750762911 35.65565167435811 13.105182647705078 65988.74419142265 87.63029789973938 13.302713394165039 63417.24428351767 93.43924152696701 12.756402015686035 nan nan nan nan nan NOT_AVAILABLE 7357.75 200111 3.7602584742489974e-05 1158.5219618552449 10.3195213551623 0.2682313919067383 CMaOB1
36322 2944.550048828125 13585.5 105.589425353 -11.7780284364 13.7225 0.443748 3.98616 2.30372 1.39053 -67.5833 9.7772 17.486400604248047 224.655841546 -2.95659087221 21.42669677734375 13.0 1.363356113543523 1429940 1635721458409799680 3045991841413865984 105.58931306212592 0.02460431754283738 -11.777733238179984 0.02868084018257792 0.8461501695887504 0.03313916030058389 11 False 50660.441505887036 22.185074628570185 13.926692962646484 26047.952629264088 127.63213576490507 14.311954498291016 37877.397721096684 82.01116856398836 13.315969467163086 nan nan nan nan nan NOT_AVAILABLE 5304.5 200111 0.00031500138949278484 1181.8233168776935 10.362762770879527 0.5534412860870361 CMaOB1
36335 2476.06005859375 13572.7001953125 105.704283906 -12.0112291679 2.96589 0.253355 1.68337 1.0171 0.756066 -74.8441 4.08894 19.149599075317383 224.914983984 -2.96282265485 19.640478134155273 4.0 1.1478165956236501 1429952 1635721458409799680 3045791489784244480 105.70421294969788 0.0213729032283381 -12.01132122481982 0.023196311702162728 0.8552124829693103 0.02898156096654845 11 False 51956.823584556805 12.940906797312383 13.899259567260742 27873.43773969123 40.38337727938051 14.238411903381348 35209.48251385357 43.630044641677024 13.395271301269531 nan nan nan nan nan NOT_AVAILABLE 5793.0 200111 0.00011528759517196805 1169.3000510563004 10.33962984322275 0.40252888202667236 CMaOB1
36370 3909.239990234375 13600.599609375 105.347554031 -11.3001731578 61.5744 0.830801 23.6594 2.1288 1.81024 -40.4274 3.36507 15.856499671936035 224.121782949 -2.94991101588 23.199111938476562 76.0 2.6624495706651006 1429980 1635721458409799680 3046091759535625856 105.34744634203246 0.032273054272208286 -11.30014386906637 0.034141122021787346 0.8134582409857529 0.03987734059703769 10 False 315465.30182275124 147.76653477647076 11.940986633300781 174490.74727436004 442.2151923247192 12.246956825256348 211000.0642870888 274.1176705604699 11.451213836669922 nan nan nan nan nan NOT_AVAILABLE 5956.0 200111 0.00010958772319592789 1229.3194040153737 10.448323683672175 0.36403989791870117 CMaOB1
36374 1431.530029296875 13596.900390625 105.98748033 -12.5170970817 55.2049 0.779293 27.3454 1.79864 1.68777 7.55372 2.69617 15.975099563598633 225.492154273 -2.94723468091 22.138694763183594 122.0 1.2150159829739053 1429982 1635721458409799680 3045611784052020352 105.98742252599853 0.045538623097659305 -12.517181538621545 0.04924543130422265 0.8259140142466528 0.0680809483661699 11 False 190310.35504966733 45.61626830388373 12.489709854125977 121536.65801074044 168.5056929274447 12.639619827270508 102821.67833789882 97.12995139937074 12.231708526611328 nan nan nan nan nan NOT_AVAILABLE 7681.66650390625 200111 0.00010157423140133483 1210.7797939621325 10.415325823216655 0.4091285467147827 CMaOB1
36452 146.55299377441406 13623.2001953125 106.335001987 -13.1388108272 103.467 1.0527 43.036 2.08089 1.86754 10.8909 3.10323 15.293000221252441 226.200924349 -2.92963630149 24.71402931213379 148.0 1.0402905295609532 1430053 1635721458409799680 3044776159515024896 106.33491141730065 0.03935092396227655 -13.13892621892092 0.03725334923422769 0.8346884334299237 0.05199109652814156 11 False 328929.8867942634 85.40633951968918 11.895606994628906 211745.188525571 311.3698013123976 12.03685474395752 178515.58944980582 197.84767837541443 11.632729530334473 nan nan nan nan nan NOT_AVAILABLE 8037.75 -9223372036854775808 0.00014523867021303913 1198.0518238293703 10.392378023139308 0.17818686366081238 CMaOB1
