uploadID uploadRA uploadDEC uploadSearchID objID survey specObjID distance_arcmin fov_radius IAUName ra dec band nuv_exptime fuv_exptime fuv_mag_1 fuv_magerr nuv_mag nuv_magerr fuv_flux fuv_fluxerr nuv_flux nuv_fluxerr e_bv spectra fuv_fwhm_world nuv_fwhm_world ra_cent dec_cent minObsDate meanObsDate maxObsDate minObsMJD meanObsMJD maxObsMJD tilename tilenum_1 img subvis photoextractid nuv_flux_auto nuv_flux_aper_7 nuv_artifact fuv_flux_auto fuv_flux_aper_7 fuv_artifact X_IMAGE Y_IMAGE FLUX_AUTO FLUXERR_AUTO FLUX_APER A_IMAGE B_IMAGE THETA_IMAGE FWHM_IMAGE nuv_sex gl_sex gb_sex ra_sex dec_sex nuv_galex fuv_mag_2 ra_galex dec_galex gl_galex gb_galex tilenum_2
34 286.2478915100211 15.86260695394013 34 6375208267136632657 AIS 0 0.0 0.5891663432121277 "GALEX J190459.4+155145" 286.2478915100211 15.86260695394013 1 160.0 160.0 -999.0 -999.0 17.7735214 0.0483369157 -999.0 -999.0 282.222076 12.5614586 0.727882445 false -99.0 0.003254261 286.85956 15.89404 2006-07-30 2006-07-30 2006-07-30 53946.62842592593 53946.62842592593 53946.69782407408 AIS_122 50122 1 17 6375208267135582208 8.367416381835938 8.665884017944336 145 -99.0 -99.0 0 2615.530029296875 34466.0 13.7622 0.377326 1.7987 1.74993 1.12001 -84.314 8.297320365905762 17.233299255371094 48.5921664069 4.24619431395 286.247684692 15.8630664657 17.773521423339844 -999.0 286.2478915100211 15.86260695394013 48.5919075012207 4.245675563812256 50122
35 309.133530571467 26.60403840703971 35 6387945060298654127 AIS 0 0.0 0.4224822223186493 "GALEX J203632.0+263614" 309.133530571467 26.60403840703971 1 104.0 0.0 -999.0 -999.0 17.9538765 0.0514933877 -999.0 -999.0 239.028122 11.3336716 0.3317545 false -99.0 0.00160791329 309.03032 27.01636 2011-10-08 2011-10-08 2011-10-08 55842.613900462966 55842.613900462966 55842.61510416667 AIS_484 50484 1 64 6387945060297605120 7.086787700653076 7.0602617263793945 17 -99.0 -99.0 -999 1699.9300537109375 3671.179931640625 18.9417 0.497495 4.23418 1.41835 1.29791 17.023 5.106689929962158 16.886499404907227 68.769101255 -8.51375915299 309.133014538 26.604194864 17.953876495361328 -999.0 309.133530571467 26.60403840703971 68.76932525634766 -8.514335632324219 50484
36 310.0928718188809 29.82971863103107 36 6372287965327000580 AIS 0 0.0 0.5044217109680176 "GALEX J204022.2+294946" 310.0928718188809 29.82971863103107 1 90.0 0.0 -999.0 -999.0 16.8925915 0.03222481 -999.0 -999.0 635.2765 18.85052 0.399181873 false -99.0 0.00212897873 310.6413 29.99845 2011-10-08 2011-10-08 2011-10-08 55842.54885416667 55842.54885416667 55842.549895833334 AIS_39 50039 1 18 6372287965325950976 18.83489418029785 19.24674415588379 17 -99.0 -99.0 -999 696.4910278320312 6720.5498046875 30.2834 0.527099 6.29257 1.38995 0.972406 87.2479 4.3931097984313965 16.37700080871582 71.8913108439 -7.26713819542 310.092810164 29.8295918823 16.89259147644043 -999.0 310.0928718188809 29.82971863103107 71.89151763916016 -7.267211437225342 50039
37 309.2264358395216 29.8436923245251 37 6387945048487494901 AIS 0 0.0 0.3298834264278412 "GALEX J203654.3+295037" 309.2264358395216 29.8436923245251 1 91.0 0.0 -999.0 -999.0 17.9016647 0.0544589 -999.0 -999.0 250.803452 12.576869 0.5452546 false -99.0 0.0019263518 309.59656 29.92008 2011-10-08 2011-10-08 2011-10-08 55842.55028935186 55842.55028935186 55842.5513425926 AIS_484 50484 1 53 6387945048486445056 7.435906410217285 7.726041793823242 2 -99.0 -99.0 -999 1758.550048828125 8205.6796875 15.7482 0.483716 3.96062 1.55211 0.998208 85.8074 5.274370193481445 17.08690071105957 71.448786732 -6.65747463234 309.226712202 29.8436223696 17.90166473388672 -999.0 309.2264358395216 29.8436923245251 71.44877624511719 -6.657348155975342 50484
41 300.0175001956115 38.86017907083681 41 6371408394679487432 AIS 0 0.0 0.5270110368728638 "GALEX J200004.2+385136" 300.0175001956115 38.86017907083681 1 106.0 0.0 -999.0 -999.0 17.9759254 0.07414754 -999.0 -999.0 234.222961 15.991765 0.4069751 false -99.0 0.00300884084 300.68209 38.76239 2011-09-07 2011-09-07 2011-09-07 55811.529444444444 55811.529444444444 55811.5306712963 AIS_14 50014 1 54 6371408394678435840 6.94432258605957 6.648650169372559 17 -99.0 -99.0 -999 2713.2900390625 35522.19921875 12.4909 0.331523 1.83354 1.4995 0.871072 33.0599 6.824960231781006 17.338499069213867 74.6430725243 4.68356483043 300.017732953 38.860858647 17.97592544555664 -999.0 300.0175001956115 38.86017907083681 74.6424560546875 4.683262348175049 50014
42 312.4405707978034 33.65471572372869 42 6372287953515844431 AIS 0 0.0 0.5476988554000854 "GALEX J204945.7+333916" 312.4405707978034 33.65471572372869 1 64.05 0.0 -999.0 -999.0 17.4616566 0.0558189526 -999.0 -999.0 376.12912 19.3325367 0.358232766 false -99.0 0.00229338161 312.7474 33.17059 2011-10-08 2011-10-08 2011-10-08 55842.54085648148 55842.54085648148 55842.54159722222 AIS_39 50039 1 7 6372287953514790912 11.151604652404785 11.534955978393555 19 -99.0 -99.0 -999 1208.469970703125 8616.51953125 19.7685 0.400746 4.82515 1.46486 1.18326 -79.4291 5.236310005187988 16.840099334716797 76.1662570753 -6.48856517593 312.440698506 33.6552152538 17.46165657043457 -999.0 312.4405707978034 33.65471572372869 76.1658706665039 -6.488895893096924 50039
45 313.486794989618 36.99931429638172 45 6372112093932423579 AIS 0 0.0 0.44751331210136414 "GALEX J205356.8+365957" 313.486794989618 36.99931429638172 1 96.0 0.0 -999.0 -999.0 17.9892864 0.06358203 -999.0 -999.0 231.358353 13.5453348 0.3911972 false -99.0 0.002117416 312.92728 36.97626 2011-10-11 2011-10-11 2011-10-11 55845.41898148148 55845.41898148148 55845.42009259259 AIS_34 50034 1 65 6372112093931372544 6.859391689300537 6.908365249633789 1 -99.0 -99.0 -999 183.06300354003906 12149.7998046875 11.4436 0.332531 1.67189 1.43199 1.17641 20.9105 6.8762102127075195 17.4335994720459 79.310037942 -5.03109989982 313.486404046 36.998881387 17.989286422729492 -999.0 313.486794989618 36.99931429638172 79.3106460571289 -5.031158447265625 50034
47 313.6608986393937 38.8834171390086 47 6372112070310102676 AIS 0 0.0 0.01995306834578514 "GALEX J205438.6+385300" 313.6608986393937 38.8834171390086 1 85.05 0.0 -999.0 -999.0 16.3798523 0.0418402776 -999.0 -999.0 1018.72992 39.2485657 0.827577233 false -99.0 0.00239154231 313.66703 38.90279 2011-09-11 2011-09-11 2011-09-11 55815.16704861111 55815.16704861111 55815.168032407404 AIS_34 50034 1 43 6372112070309052416 30.20365333557129 31.02846336364746 273 -99.0 -99.0 -999 784.6599731445312 14812.599609375 55.5524 0.671897 16.9625 1.29025 1.08111 54.5879 3.9484100341796875 15.718199729919434 80.8496603892 -3.92853351579 313.661031441 38.8837134281 16.379852294921875 -999.0 313.6608986393937 38.8834171390086 80.84944152832031 -3.928737163543701 50034
48 314.8312326653025 39.42263437064695 48 6372112069236363653 AIS 0 0.0 0.4375307857990265 "GALEX J205919.5+392521" 314.8312326653025 39.42263437064695 1 265.05 0.0 -999.0 -999.0 17.106266 0.0218289942 -999.0 -999.0 521.7869 10.4881067 0.792362034 false -99.0 0.00168358383 314.85883 38.98563 2011-06-13 2011-07-30 2011-09-15 55725.69682870371 55772.4468287037 55819.210069444445 AIS_34 50034 1 42 6372112069235310592 15.470117568969727 15.778936386108398 17 -99.0 -99.0 -999 555.8939819335938 13986.900390625 31.1844 0.610479 4.05351 1.39313 0.958176 68.6683 5.0437798500061035 16.345199584960938 81.8500240527 -4.27080393109 314.830936772 39.4219886557 17.106266021728516 -999.0 314.8312326653025 39.42263437064695 81.85073852539062 -4.270645618438721 50034
49 314.8312326653025 39.42263437064695 49 6372112069236363653 AIS 0 0.0 0.4375307857990265 "GALEX J205919.5+392521" 314.8312326653025 39.42263437064695 1 265.05 0.0 -999.0 -999.0 17.106266 0.0218289942 -999.0 -999.0 521.7869 10.4881067 0.792362034 false -99.0 0.00168358383 314.85883 38.98563 2011-06-13 2011-07-30 2011-09-15 55725.69682870371 55772.4468287037 55819.210069444445 AIS_34 50034 1 42 6372112069235310592 15.470117568969727 15.778936386108398 17 -99.0 -99.0 -999 555.8939819335938 13986.900390625 31.1844 0.610479 4.05351 1.39313 0.958176 68.6683 5.0437798500061035 16.345199584960938 81.8500240527 -4.27080393109 314.830936772 39.4219886557 17.106266021728516 -999.0 314.8312326653025 39.42263437064695 81.85073852539062 -4.270645618438721 50034
50 320.4780195706212 37.45929498163877 50 6372112086416230688 AIS 0 0.0 0.4849490523338318 "GALEX J212154.7+372733" 320.4780195706212 37.45929498163877 1 85.0 0.0 -999.0 -999.0 17.9653664 0.06431116 -999.0 -999.0 236.512115 14.0058651 0.1885588 false -99.0 0.00229179347 321.08872 37.47442 2011-10-10 2011-10-10 2011-10-10 55844.525983796295 55844.525983796295 55844.526967592596 AIS_34 50034 1 58 6372112086415179776 7.012192249298096 6.9836249351501465 17 -99.0 -99.0 -999 1155.3900146484375 2838.570068359375 12.2285 0.397339 3.44707 1.32257 1.1301 39.4451 4.653530120849609 17.361600875854492 83.412731127 -8.85279370828 320.477739869 37.459025091 17.96536636352539 -999.0 320.4780195706212 37.45929498163877 83.41316223144531 -8.852850914001465 50034
